commit,url,file_list
14c359a94832f35c58cfebebd864ecb89ded40c4,https://gerrit.ericsson.se/#/c/12437677/,bbue/nr/upcUeAbfCe/body/msg4/upcueabfce_msg4actor_handledlharqreportind.c
3dad9da4dae824df4149d12e62f6f965c3b238ec,https://gerrit.ericsson.se/#/c/12402674/,bbue/nr/upcUeUlNrCe/body/ue/upcueulnrce_ueactor_validateue.c
54ea5ef47daa7a1da54b5c5690de390cf73964e7,https://gerrit.ericsson.se/#/c/12432582/,"bbdra/draNrAbfCe/api-private/xbm/dranrabfce_xbm_lib.h
bbdra/draNrAbfCe/body/xbm/dranrabfce_xbm_lib.c"
67cf8e28fc6b842122725e10fd53d0fe2401f554,https://gerrit.ericsson.se/#/c/11434490/,"bbpc/bbpcBbUeMe/body/ueAdmin/bbpcbbueme_ueadmin_upperuemi_scellsconfig.c
bbpc/bbpcBbUeMe/body/ueAdmin/bbpcbbueme_ueadmin_upperuemi_uemodify_aggregation_utils.c
bbpc/bbpcBbUeMe/body/ueAdmin/bbpcbbueme_ueadmin_upperuemi_uesetup_aggregation_utils.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_scellsconfig.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_uemodify_aggregation_utils.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_uesetup_aggregation_utils.c"
ed66acd39267d591945df55a3e8a7feb7e7cac72,https://gerrit.ericsson.se/#/c/12071930/,"bbdra/draCtrlNrMdbfCe/api-private/common/dractrlnrmdbfce_common_bbrhfastinput.h
bbdra/draCtrlNrMdbfCe/api-private/common/dractrlnrmdbfce_common_cellpps.h
bbdra/draCtrlNrMdbfCe/api-private/common/dractrlnrmdbfce_common_tps.h
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_dl_ailg.c
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_dl_utils.c
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_handlenrdistciresourceind.c
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_ul_tbs.c
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_ul_utils.c
bbdra/draCtrlNrMdbfCe/body/distributor/dractrlnrmdbfce_distributor.c
bbdra/draCtrlNrMdbfCe/body/xbmSerial/dractrlnrmdbfce_xbmserialtor_handlenrdractrltimercislottimer.c
bbdra/draCtrlNrMdbfCe/debug/lib/dractrl_cell.py
bbdra/draDlNrMdbfCe/api-private/common/dradlnrmdbfce_common_xbmtps.h
bbdra/draDlNrMdbfCe/body/common/dradlnrmdbfce_common_xbmtps.c
bbdra/draDlNrMdbfCe/body/xbmSerial/dradlnrmdbfce_xbmserialactor_handleslottimer.c
bbdra/draNrCommon/api/common/dranrcommon_cellbm.h"
22e374c1e5daef3e85607741640de61d817bd738,https://gerrit.ericsson.se/#/c/12236783/,"bbdra/draNrAbfCe/api-private/feederLib/dranrabfce_feederlib_common.h
bbdra/draNrAbfCe/body/feederLib/dranrabfce_feederlib_pdcch.c"
da4849e583721e8bc0971b3093e1921e266b5460,https://gerrit.ericsson.se/#/c/12239322/,"bbdra/draNrAbfCe/api-private/common/dranrabfce_common_defines.h
bbdra/draNrAbfCe/body/common/dranrabfce_common_dlsr.c
bbdra/draNrAbfCe/body/srSelectorLib/dranrabfce_srselectorlib_ulsr_lib.c
bbdra/draNrAbfCe/body/xbm/dranrabfce_xbm_cellsetupreq_lib.c"
97e63133950cddd669f57403f0d03cc25d53070c,https://gerrit.ericsson.se/#/c/12251103/,"bbdra/draDlNrMdbfCe/api-private/common/dradlnrmdbfce_common_pdschalloctor_data.h
bbdra/draDlNrMdbfCe/body/pdschAlloc/dradlnrmdbfce_pdschalloctor_rbgschedmain.c
bbdra/draDlNrMdbfCe/body/pdschAlloc/dradlnrmdbfce_pdschalloctor_util.c"
66303b32b7f26f6869d0d3691c2233d5a696e1f7,https://gerrit.ericsson.se/#/c/12439808/,"bbue/nr/upcUeAbfCe/body/ifc/upcueabfce_common_sysconst.c
bbue/nr/upcUeAbfCe/body/ifc/upcueabfce_common_sysconst_update_functions.c"
6d13f7c19f05779c4903ee04686a8cee1a1a6b75,https://gerrit.ericsson.se/#/c/12429992/,"bbue/nr/upcUeAbfCe/api-private/common/upcueabfce_common_defines.ifx
bbue/nr/upcUeAbfCe/api-private/common/upcueabfce_common_pmcounter.h
bbue/nr/upcUeAbfCe/api-private/common/upcueabfce_common_trace.h
bbue/nr/upcUeAbfCe/api-private/common/upcueabfce_common_uesession.h
bbue/nr/upcUeAbfCe/api-private/ueDl/upcueabfce_uedlactor_beams_lib.h
bbue/nr/upcUeAbfCe/api-private/ueDl/upcueabfce_uedlactor_util.h
bbue/nr/upcUeAbfCe/api-private/ueUl/upcueabfce_ueulactor_lib.h
bbue/nr/upcUeAbfCe/api-private/ueUl/upcueabfce_ueulactor_ulsr_lib.h
bbue/nr/upcUeAbfCe/body/common/upcueabfce_common_pmcounter.c
bbue/nr/upcUeAbfCe/body/common/upcueabfce_common_trace.c
bbue/nr/upcUeAbfCe/body/common/upcueabfce_common_ueadmin.c
bbue/nr/upcUeAbfCe/body/common/upcueabfce_common_uesession.c
bbue/nr/upcUeAbfCe/body/mtd/upcueabfce_mtdactor_getelementueinfo.c
bbue/nr/upcUeAbfCe/body/ra/upcueabfce_raactor_lib.c
bbue/nr/upcUeAbfCe/body/ueDl/upcueabfce_uedlactor_beams_lib.c
bbue/nr/upcUeAbfCe/body/ueDl/upcueabfce_uedlactor_dlsr_lib.c
bbue/nr/upcUeAbfCe/body/ueDl/upcueabfce_uedlactor_handlenrull1rpt2dlciull1puschcsirpt2dlind.c
bbue/nr/upcUeAbfCe/body/ueDl/upcueabfce_uedlactor_ueprocedure_util.c
bbue/nr/upcUeAbfCe/body/ueDl/upcueabfce_uedlactor_util.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_handlenrpuschallocrejul2upculind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_handlenrpuschciull1puschrpt2ulind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_handlenrupcuefimsg5reqind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_handlenrupcuefiullainfoind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_handlenrupcuefiulwidebeamswitchind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_handlerainfociracompleteind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_handlexbmueulinfouereleasedind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_handlexbmueulinfouesetupind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_lib.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_ulsr_lib.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_ulsr_util.c
bbue/nr/upcUeAbfCe/body/xbm/upcueabfce_xbmtor_ue_lib.c"
